land_or_marine,mean_Q601_asphalting_sand,mean_Q602_building_soft_sand,mean_Q603_concreting_sand,mean_Q604_bituminous_gravel,mean_Q605_concreting_gravel,mean_Q606_other_gravel,mean_Q607_constructional_fill,movement_Q601_asphalting_sand,movement_Q602_building_soft_sand,movement_Q603_concreting_sand,movement_Q604_bituminous_gravel,movement_Q605_concreting_gravel,movement_Q606_other_gravel,movement_Q607_constructional_fill,region,responder_id,strata
L,0,0,-0.5,0,-0.5,0,-0.5,0,0,0,0,0,0,-1,1,231,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,0,0,0,0,0,-1,14,231,E
L,0,0.191104085,-0.233531176,0,-0.055776172,-0.118927682,0.015977961,0,0.095545513,0,0,0,0,0,10,4138,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,0.095545513,0,0,0,0,0,14,4138,E
L,-0.012355179,-0.117019413,-0.102478685,0,0.006135814,0.105352506,-0.133405784,0,0.245999191,0,0,0,0,0,9,11814,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,0.245999191,0,0,0,0,0,14,11814,E
L,-0.098642038,-0.086619014,-0.112915262,0,-0.003971726,0.044374501,-0.127844243,-0.857614899,-0.03393028,0,0,0,0,0,9,15243,D
L,1.257317577,0.183054429,0.921473325,-0.01306718,0.029539055,-0.023813666,-0.06394735,-0.857614899,-0.03393028,0,0,0,0,0,14,15243,D
L,-0.00499299,0.170049513,0.255779517,0,0.008146795,0.11913277,0.702796324,0,-0.057142857,0,0,0,0,0.186046512,7,230847,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,-0.057142857,0,0,0,0,0.186046512,14,230847,E
L,-0.051260965,0.008485515,0.702950895,-0.125,-0.204166222,-0.25584682,-0.180659515,0,0.050295858,0.253968254,0,-0.252396166,0.89110958,-0.401414309,11,239958,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,0.050295858,0.253968254,0,-0.252396166,0.89110958,-0.401414309,14,239958,E
L,0,-0.063489009,-0.152832733,0,-0.126999432,-0.086283347,-0.221112545,0,0.135671953,-0.174068966,0,-0.539845758,0,0,6,244184,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,0.135671953,-0.174068966,0,-0.539845758,0,0,14,244184,E
L,-0.011344514,0.189824608,0.047957581,-0.017553563,-0.094882319,0.281080301,0.65318163,0,-0.280798348,-0.242120344,0,0.220447284,-0.060616803,-0.0078125,12,516741,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,-0.280798348,-0.242120344,0,0.220447284,-0.060616803,-0.0078125,14,516741,E
L,0.199367696,0.132934392,0.119379875,0,-0.026708137,0.155231611,0.013070458,-0.269318182,-0.067490654,0.108856089,0,0.114605544,1.2965156,0,5,522204,D
L,1.257317577,0.183054429,0.921473325,-0.01306718,0.029539055,-0.023813666,-0.06394735,-0.269318182,-0.067490654,0.108856089,0,0.114605544,1.2965156,0,14,522204,D
L,-0.012355179,-0.117019413,-0.102478685,0,0.006135814,0.105352506,-0.133405784,0,-1,0,0,0,0,0,9,626359,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,-1,0,0,0,0,0,14,626359,E
L,-0.00499299,0.170049513,0.255779517,0,0.008146795,0.11913277,0.702796324,0,0.06043956,0,0,0,0,10.55,7,665849,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,0.06043956,0,0,0,0,10.55,14,665849,E
L,-0.166666667,0.019829194,-0.038332059,0,-0.143749676,0.022342228,-0.217836257,0,0.315614618,0.029266907,0,-0.029164722,0.134053367,-0.807017544,5,707021,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,0.315614618,0.029266907,0,-0.029164722,0.134053367,-0.807017544,14,707021,E
L,-0.00499299,0.170049513,0.255779517,0,0.008146795,0.11913277,0.702796324,0,0.272727273,0.074204947,0,0.56049755,0,-0.372274143,7,1822023,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,0,0.272727273,0.074204947,0,0.56049755,0,-0.372274143,14,1822023,E
L,-0.098642038,-0.086619014,-0.112915262,0,-0.003971726,0.044374501,-0.127844243,0,-0.204665084,-0.102384967,0,0.364523784,0,0,9,2138849,D
L,1.257317577,0.183054429,0.921473325,-0.01306718,0.029539055,-0.023813666,-0.06394735,0,-0.204665084,-0.102384967,0,0.364523784,0,0,14,2138849,D
L,-0.11524159,0.142586979,0.209899248,0,0.41783607,-0.11390751,-0.216541797,-0.03697792,-0.472508399,0,0,0,0,-1,3,4417595,E
L,-0.012124809,0.081107708,0.043699231,-0.011188157,-0.042917316,0.065069992,0.219834604,-0.03697792,-0.472508399,0,0,0,0,-1,14,4417595,E
L,0,-0.053062897,0.084033613,0,0,0,-0.963779505,0,-0.053062897,0.084033613,0,0,0,-0.963779505,1,4541389,B1
